,experiment,component,rules,clauses_per_rule,total_clauses,test_case_number,delay_ms
110,test_10_4,test_runner,10,4,40,6,67.0
111,test_20_2,test_runner,20,2,40,6,65.0
112,test_10_4,test_runner,10,4,40,7,62.0
113,test_20_2,test_runner,20,2,40,7,61.0
114,test_10_4,test_runner,10,4,40,8,61.0
115,test_20_2,test_runner,20,2,40,8,58.0
116,test_10_4,test_runner,10,4,40,9,59.0
117,test_20_2,test_runner,20,2,40,9,59.0
118,test_10_4,test_runner,10,4,40,10,59.0
119,test_20_2,test_runner,20,2,40,10,57.0
120,test_10_4,test_runner,10,4,40,11,61.0
121,test_20_2,test_runner,20,2,40,11,54.0
122,test_10_4,test_runner,10,4,40,12,61.0
123,test_20_2,test_runner,20,2,40,12,56.0
124,test_10_4,test_runner,10,4,40,13,77.0
125,test_20_2,test_runner,20,2,40,13,45.0
126,test_10_4,test_runner,10,4,40,14,52.0
127,test_20_2,test_runner,20,2,40,14,52.0
128,test_10_4,test_runner,10,4,40,15,52.0
129,test_20_2,test_runner,20,2,40,15,45.0
130,test_10_4,test_runner,10,4,40,16,54.0
131,test_20_2,test_runner,20,2,40,16,55.0
132,test_10_4,test_runner,10,4,40,17,51.0
133,test_20_2,test_runner,20,2,40,17,50.0
134,test_10_4,test_runner,10,4,40,18,339.0
135,test_20_2,test_runner,20,2,40,18,50.0
136,test_10_4,test_runner,10,4,40,19,49.0
137,test_20_2,test_runner,20,2,40,19,55.0
138,test_10_4,test_runner,10,4,40,20,50.0
139,test_20_2,test_runner,20,2,40,20,51.0
140,test_10_4,test_runner,10,4,40,21,50.0
141,test_20_2,test_runner,20,2,40,21,53.0
142,test_10_4,test_runner,10,4,40,22,49.0
143,test_20_2,test_runner,20,2,40,22,52.0
144,test_10_4,test_runner,10,4,40,23,51.0
145,test_20_2,test_runner,20,2,40,23,48.0
146,test_10_4,test_runner,10,4,40,24,55.0
147,test_20_2,test_runner,20,2,40,24,48.0
148,test_10_4,test_runner,10,4,40,25,54.0
149,test_20_2,test_runner,20,2,40,25,48.0
150,test_10_4,test_runner,10,4,40,26,47.0
151,test_20_2,test_runner,20,2,40,26,49.0
152,test_10_4,test_runner,10,4,40,27,53.0
153,test_20_2,test_runner,20,2,40,27,49.0
154,test_10_4,test_runner,10,4,40,28,50.0
155,test_20_2,test_runner,20,2,40,28,49.0
156,test_10_4,test_runner,10,4,40,29,58.0
157,test_20_2,test_runner,20,2,40,29,49.0
158,test_10_4,test_runner,10,4,40,30,60.0
