experiment,count,mean,std,min,25%,50%,75%,90%,95%,99%,max,variance
test_40_14,50.0,884.72,68.79488590389995,853.0,867.0,870.5,877.0,885.7,945.3,1158.1699999999992,1338.0,4732.736326530619
test_40_16,50.0,1226.48,86.73893271754956,1191.0,1201.0,1206.5,1223.75,1236.1,1260.6999999999998,1584.3799999999992,1799.0,7523.6424489796
test_40_18,50.0,1597.2,90.99719663768974,1556.0,1575.0,1580.5,1592.75,1604.4,1614.1,1949.419999999999,2215.0,8280.48979591839
test_40_2,50.0,15.08,7.811138044550258,10.0,11.0,11.0,18.75,21.1,25.64999999999999,43.29999999999994,58.0,61.01387755102044
test_40_20,50.0,2328.68,104.7809065018381,2261.0,2304.25,2313.0,2327.5,2338.6,2345.55,2715.1499999999987,3041.0,10979.03836734693
test_40_4,50.0,50.08,19.7048010310551,41.0,42.0,44.0,47.5,63.50000000000002,78.64999999999999,127.26999999999984,165.0,388.2791836734698
test_40_6,50.0,111.94,30.185420186519423,98.0,101.0,103.0,107.0,122.20000000000002,151.54999999999995,246.4199999999999,267.0,911.1595918367351
test_40_8,50.0,208.14,36.340234631345254,192.0,196.0,198.0,202.0,220.4,246.79999999999995,367.13999999999976,423.0,1320.6126530612237
test_45_10,50.0,534.3,51.83303256906858,514.0,520.0,523.0,527.75,536.3000000000001,559.2,754.8699999999995,871.0,2686.663265306126
test_45_12,50.0,830.62,60.06693205525493,798.0,814.0,818.0,824.75,831.4,866.1,1094.3399999999995,1209.0,3608.036326530613
test_45_14,50.0,1152.16,71.8130679938817,1123.0,1129.0,1133.5,1145.5,1161.6,1219.1499999999996,1449.2199999999993,1607.0,5157.116734693896
test_45_16,50.0,1616.3,71.15382875811233,1589.0,1596.0,1602.0,1610.25,1625.4,1639.2,1913.9899999999993,2085.0,5062.867346938778
test_45_18,50.0,2419.18,107.52421464346472,2364.0,2391.25,2400.0,2413.25,2429.4,2444.25,2865.3999999999987,3130.0,11561.456734693857
test_45_2,50.0,18.12,9.492510474160179,13.0,13.0,14.0,17.0,28.0,31.64999999999999,51.33999999999993,68.0,90.1077551020408
test_45_20,50.0,3111.96,108.20557909340337,3047.0,3070.25,3093.0,3124.0,3139.9,3150.0,3513.8899999999985,3827.0,11708.447346938758
test_45_4,50.0,60.44,21.690927286093885,50.0,52.0,53.5,57.75,66.00000000000003,99.29999999999998,149.0899999999999,178.0,470.49632653061207
test_45_6,50.0,139.8,34.46678377327177,126.0,129.0,131.0,135.0,147.0,179.7499999999999,292.4099999999998,337.0,1187.9591836734687
test_45_8,50.0,276.12,42.082348813162184,260.0,263.0,265.0,268.75,283.8,319.99999999999994,451.3099999999996,540.0,1770.9240816326528
test_50_10,50.0,681.62,56.18224354541139,661.0,665.0,668.5,672.5,697.3,725.9,921.8699999999995,1038.0,3156.444489795913
test_50_12,50.0,1040.6,67.70524351924303,1003.0,1018.0,1029.5,1038.0,1045.4,1075.05,1328.0199999999995,1476.0,4584.000000000009
test_50_14,50.0,1502.52,78.56421785094415,1461.0,1479.25,1486.0,1502.5,1509.2,1551.1999999999998,1820.5299999999993,2018.0,6172.336326530595
test_50_16,50.0,2308.06,84.70029033995971,2240.0,2286.0,2297.5,2308.0,2326.1,2332.85,2645.929999999999,2863.0,7174.139183673477
