experiment,component,rules,clauses_per_rule,total_clauses,count,mean,std,min,25%,50%,75%,90%,95%,99%,max,variance
test_15_16,asmeta,15,16,240,50.0,111.1,49.66962279473671,96.0,99.25,101.0,104.75,111.30000000000001,131.64999999999998,309.77999999999946,446.0,2467.071428571428
test_15_18,test_runner,15,18,270,50.0,242.64,71.9403834818122,216.0,222.0,226.5,233.25,263.6,294.29999999999995,528.3499999999992,717.0,5175.418775510207
test_15_18,enforcer,15,18,270,50.0,219.6156,67.46733910234654,194.94,199.4475,203.82,211.6175,239.091,269.7469999999999,487.0747999999993,663.22,4551.84184555102
test_15_18,asmeta,15,18,270,50.0,144.0,55.44513743608291,124.0,129.0,131.0,137.75,152.1,187.99999999999994,361.07999999999936,512.0,3074.163265306122
test_15_2,test_runner,15,2,30,50.0,56.84,13.887830526568719,46.0,51.0,54.0,58.0,64.0,66.0,109.22999999999985,145.0,192.8718367346937
test_15_2,enforcer,15,2,30,50.0,33.17179999999999,10.907140086069441,24.09,28.2575,30.299999999999997,34.97,41.269,43.11599999999999,73.8808999999999,98.67,118.96570485714287
test_15_2,asmeta,15,2,30,50.0,5.1,3.7211475078946012,2.0,4.0,5.0,5.0,6.0,8.0,19.19999999999996,29.0,13.846938775510207
test_15_20,test_runner,15,20,300,50.0,297.24,85.94577312682308,262.0,269.0,273.5,280.75,321.3,410.54999999999995,657.2599999999993,817.0,7386.675918367347
test_15_20,enforcer,15,20,300,50.0,270.0948,77.0363749820002,240.04,247.01500000000001,250.975,259.7875,283.217,345.0974999999998,583.1310999999993,764.73,5934.603070367348
test_15_20,asmeta,15,20,300,50.0,179.24,63.14917873979205,158.0,162.0,164.0,169.75,182.70000000000002,241.3499999999999,434.6499999999994,589.0,3987.818775510202
test_15_4,test_runner,15,4,60,50.0,64.28,19.711221293921874,50.0,55.0,61.5,67.0,71.2,74.1,138.54999999999978,190.0,388.5322448979593
test_15_4,enforcer,15,4,60,50.0,40.6736,14.7960202536675,28.58,32.0875,39.865,45.2325,47.785000000000004,50.2605,96.52779999999987,129.74,218.92221534693874
test_15_4,asmeta,15,4,60,50.0,11.12,6.693402173264448,6.0,7.0,9.0,13.0,15.0,16.099999999999994,36.29999999999994,51.0,44.801632653061226
test_15_6,test_runner,15,6,90,50.0,70.22,28.924454733540838,52.0,59.0,62.0,66.5,95.30000000000001,99.64999999999999,183.25999999999976,245.0,836.6240816326535
test_15_6,enforcer,15,6,90,50.0,47.666000000000004,24.79917139827088,34.89,37.66,39.675,42.42,68.924,75.4075,145.4664999999998,193.07,614.9989020408161
test_15_6,asmeta,15,6,90,50.0,18.04,12.096482875579326,12.0,13.0,13.5,16.0,28.1,30.64999999999999,65.4799999999999,89.0,146.32489795918363
test_15_8,test_runner,15,8,120,50.0,90.68,46.684105585153,69.0,74.0,76.5,80.75,120.50000000000003,136.0,300.65999999999985,333.0,2179.4057142857155
test_15_8,enforcer,15,8,120,50.0,62.9392,27.272996276125415,49.25,51.3825,54.3,58.847500000000004,91.13300000000001,110.5355,165.6966999999998,215.76,743.8163258775514
test_15_8,asmeta,15,8,120,50.0,29.46,15.723646562565879,22.0,23.0,24.0,27.0,46.400000000000006,55.29999999999998,89.55999999999989,117.0,247.23306122448966
test_20_10,test_runner,20,10,200,50.0,142.56,45.267531275242995,121.0,125.0,130.5,139.75,161.0,179.75,340.9299999999997,411.0,2049.149387755103
test_20_10,enforcer,20,10,200,50.0,119.2964,41.07707423358968,98.83,102.5,107.695,117.5025,136.287,155.5525,300.31049999999976,356.93,1687.3260275918371
test_20_10,asmeta,20,10,200,50.0,76.64,29.666004731589556,63.0,66.0,68.5,74.0,84.10000000000002,104.79999999999995,208.32999999999984,249.0,880.0718367346942
test_20_12,test_runner,20,12,240,50.0,180.2,55.78201012029978,158.0,162.0,165.5,175.5,194.4,226.75,413.4799999999995,535.0,3111.6326530612255
test_20_12,enforcer,20,12,240,50.0,157.7626,51.51915747544394,136.38,140.4875,144.07999999999998,151.925,169.585,200.9855,375.09489999999954,483.38,2654.223586979593
test_20_12,asmeta,20,12,240,50.0,109.9,39.97767233987351,95.0,98.0,100.5,104.75,116.40000000000002,140.34999999999997,277.7999999999996,366.0,1598.214285714286
test_20_14,test_runner,20,14,280,50.0,245.94,89.21274961504969,211.0,216.25,223.5,236.0,287.4,321.15,598.1099999999991,824.0,7958.914693877548
test_20_14,enforcer,20,14,280,50.0,216.99720000000002,65.62416516211455,190.07,194.325,199.305,213.0225,253.47400000000002,279.83349999999996,472.13399999999933,637.95,4306.531053224492
test_20_14,asmeta,20,14,280,50.0,158.02,53.806717583800435,138.0,141.0,143.5,151.5,176.9,207.24999999999994,365.93999999999943,510.0,2895.1628571428587
test_20_16,test_runner,20,16,320,50.0,325.76,69.18521724844322,297.0,303.0,308.0,317.75,340.1,389.2499999999999,600.9899999999993,772.0,4786.594285714287
test_20_16,enforcer,20,16,320,50.0,301.94859999999994,65.37493131880733,275.85,281.46500000000003,284.43,293.945,315.408,365.5334999999999,562.2869999999994,721.88,4273.881644938775
test_20_16,asmeta,20,16,320,50.0,232.74,52.85706949801859,214.0,217.25,219.5,226.5,239.30000000000004,278.29999999999995,443.24999999999943,578.0,2793.8697959183683
test_20_18,test_runner,20,18,360,50.0,383.38,80.21244496043373,355.0,363.0,367.0,370.75,386.1,435.5499999999998,714.4699999999992,909.0,6434.036326530613
test_20_18,enforcer,20,18,360,50.0,359.5784,75.3100072858034,334.61,340.53499999999997,343.12,347.55,363.339,412.4659999999998,668.9064999999993,852.24,5671.597197387751
test_20_18,asmeta,20,18,360,50.0,278.24,61.50346265347462,261.0,263.25,265.0,267.0,280.0,313.4499999999998,528.7099999999994,686.0,3782.6759183673485
test_20_2,test_runner,20,2,40,50.0,53.14,17.056939457988044,39.0,46.0,49.0,55.0,65.0,69.19999999999999,117.81999999999984,158.0,290.9391836734697
test_20_2,enforcer,20,2,40,50.0,31.240800000000004,13.110833476517792,21.23,25.2,28.275,31.4225,42.765,45.95449999999999,82.01959999999988,108.46,171.89395444897963
test_20_2,asmeta,20,2,40,50.0,6.36,4.702409282615082,3.0,3.25,6.0,7.0,8.100000000000001,12.549999999999997,24.19999999999996,34.0,22.11265306122449
test_20_20,test_runner,20,20,400,50.0,539.14,95.6953094195215,506.0,514.25,519.5,526.75,541.3,580.55,937.309999999999,1173.0,9157.59224489796
test_20_20,enforcer,20,20,400,50.0,514.5734,91.10211934652547,483.8,490.3725,496.6,501.8775,519.669,553.8805,894.1830999999991,1117.53,8299.596149428573
test_20_20,asmeta,20,20,400,50.0,418.32,76.81741936805318,392.0,400.25,403.5,407.0,417.2,440.1,733.0999999999992,934.0,5900.915918367353
test_20_4,test_runner,20,4,80,50.0,76.08,61.04526256502346,52.0,55.0,59.0,70.0,79.2,154.34999999999968,351.55,354.0,3726.5240816326505
test_20_4,enforcer,20,4,80,50.0,43.373599999999996,19.215995225066962,30.75,34.0575,36.334999999999994,48.765,54.480000000000004,61.00949999999999,114.42579999999981,160.77,369.25447248979634
test_20_4,asmeta,20,4,80,50.0,15.44,8.781148639476015,10.0,11.0,12.0,19.0,22.0,23.0,46.43999999999991,68.0,77.10857142857147
test_20_6,test_runner,20,6,120,50.0,82.78,30.20358810959185,65.0,70.25,73.0,78.0,113.2,125.29999999999998,202.58999999999978,256.0,912.2567346938768
test_20_6,enforcer,20,6,120,50.0,60.76959999999999,26.233558112945836,47.49,49.8625,52.34,55.572500000000005,90.46600000000001,101.81649999999999,162.4975999999998,206.48,688.1995712653058
test_20_6,asmeta,20,6,120,50.0,29.68,15.926412409733024,22.0,23.0,24.0,27.0,49.0,53.29999999999998,92.0099999999999,117.0,253.65061224489799
test_20_8,test_runner,20,8,160,50.0,116.04,36.658913218579556,95.0,102.25,105.5,114.75,132.0,170.94999999999993,261.0099999999997,335.0,1343.875918367347
test_20_8,enforcer,20,8,160,50.0,91.892,33.04916998556384,73.67,78.845,82.18,90.3725,106.042,146.34099999999995,222.39849999999976,284.31,1092.2476367346944
test_20_8,asmeta,20,8,160,50.0,53.38,22.3121546449006,41.0,44.0,46.0,51.0,67.4,91.44999999999995,141.75999999999985,179.0,497.83224489795896
test_25_10,test_runner,25,10,250,50.0,198.14,63.12346502478058,170.0,176.25,181.5,187.5,224.10000000000002,266.1999999999999,479.90999999999974,549.0,3984.5718367346954
test_25_10,enforcer,25,10,250,50.0,169.7278,50.84769191037333,148.0,152.9375,156.89499999999998,163.2,198.913,211.547,378.66439999999955,491.58,2585.4877726122454
test_25_10,asmeta,25,10,250,50.0,122.86,38.938994672724256,107.0,111.0,113.0,117.75,138.9,154.64999999999998,281.8599999999996,373.0,1516.2453061224478
test_25_12,test_runner,25,12,300,50.0,257.2,67.7335716959757,226.0,232.0,241.5,250.75,284.3,312.29999999999995,526.9099999999993,694.0,4587.836734693877
test_25_12,enforcer,25,12,300,50.0,233.22,63.76312657174272,204.14,209.51749999999998,217.27,226.2975,261.866,285.5455,488.5008999999994,642.65,4065.7363102040813
test_25_12,asmeta,25,12,300,50.0,179.22,52.43744183426999,157.0,162.25,166.0,174.25,208.0,218.79999999999995,387.6799999999995,519.0,2749.6853061224474
test_25_14,test_runner,25,14,350,50.0,351.34,70.87373365675735,326.0,330.25,335.0,339.75,356.0,423.14999999999986,643.2799999999993,804.0,5023.086122448981
test_25_14,enforcer,25,14,350,50.0,328.27279999999996,66.73256400081183,304.07,308.4925,312.385,317.36749999999995,334.524,398.7524999999998,603.1339999999993,752.78,4453.235098122444
test_25_14,asmeta,25,14,350,50.0,266.76,54.44808798951793,248.0,252.25,254.0,258.5,267.7,321.4999999999999,490.10999999999945,618.0,2964.5942857142836
test_25_16,test_runner,25,16,400,50.0,555.06,74.49843444458331,525.0,536.0,538.0,545.25,558.9,592.9499999999999,889.1099999999994,1017.0,5550.016734693871
test_25_16,enforcer,25,16,400,50.0,530.1880000000001,67.06120971902902,500.66,511.9625,515.845,520.305,538.992,567.435,818.9699999999995,960.09,4497.205848979596
test_25_16,asmeta,25,16,400,50.0,457.52,54.465581717601545,435.0,443.25,446.0,449.0,461.4,485.79999999999995,689.9699999999996,811.0,2966.4995918367385
test_25_18,test_runner,25,18,450,50.0,650.28,91.91967211891578,612.0,625.5,632.0,638.0,660.4,691.8999999999999,1047.019999999999,1244.0,8449.226122448967
test_25_18,enforcer,25,18,450,50.0,625.3116,87.21220141091942,589.21,602.5999999999999,606.56,614.915,633.408,664.5864999999999,1002.9462999999993,1187.74,7605.96807493877
test_25_18,asmeta,25,18,450,50.0,538.94,72.99466293042617,510.0,520.25,523.0,529.0,543.1,568.0,855.6699999999994,1011.0,5328.220816326526
test_25_2,test_runner,25,2,50,50.0,54.56,17.734044280158212,44.0,46.0,51.0,56.75,67.0,75.1,120.85999999999983,163.0,314.49632653061195
test_25_2,enforcer,25,2,50,50.0,32.815,13.789117751594803,22.92,25.2275,31.185,34.905,40.61200000000001,52.067499999999995,84.39279999999988,112.95,190.1397683673469
test_25_2,asmeta,25,2,50,50.0,7.96,5.364128778377754,4.0,5.0,7.5,9.0,10.100000000000001,14.0,28.239999999999952,40.0,28.773877551020423
test_25_20,test_runner,25,20,500,50.0,831.9,113.73963285342829,789.0,803.0,812.5,822.0,834.5,873.9499999999999,1278.5799999999986,1601.0,12936.704081632653
test_25_20,enforcer,25,20,500,50.0,806.9051999999999,109.4904752588469,765.33,777.3375,790.53,796.4075,808.499,848.6504999999999,1237.2564999999986,1546.52,11988.164172408164
test_25_20,asmeta,25,20,500,50.0,703.94,94.62631337885603,667.0,679.5,689.0,696.0,706.3,737.3499999999999,1070.1299999999987,1346.0,8954.139183673471
