experiment,count,mean,std,min,25%,50%,75%,90%,95%,99%,max,variance,skewness,Bowley_skew
test_30_14,50.0,536.5156000000001,69.31539791711626,512.21,516.7475,522.165,527.98,539.3480000000001,564.9949999999999,842.5367999999995,977.62,4804.624388408156,5.7588856873627305,0.0353883819274457
test_30_16,50.0,699.9188,75.77166143144568,667.06,679.7725,685.47,693.2574999999999,708.3679999999999,739.2069999999999,1001.3110999999992,1205.94,5741.344676081641,6.360589037857273,0.1549870226177185
test_30_18,50.0,915.9082,88.73922321899265,878.4,893.36,898.815,905.1,922.831,952.184,1263.219199999999,1515.04,7874.64973751021,6.552550987300395,0.07069846678023226
test_30_2,50.0,40.06640000000001,14.325114489694563,28.47,31.88,38.05,43.155,47.347,56.216499999999975,96.7631999999999,120.44,205.20890514285702,3.958895500255703,-0.09445676274944546
test_30_20,50.0,1157.033,97.72550930216404,1128.34,1133.655,1138.4,1147.5749999999998,1156.547,1171.7115,1551.046299999999,1818.16,9550.275168367361,6.609374904859733,0.3182471264367407
test_30_4,50.0,59.514,25.049805734714568,46.26,49.495000000000005,50.91,54.43,90.00200000000001,100.80699999999999,153.70199999999983,197.41,627.4927673469391,3.9552345415657526,0.4265450861195583
test_30_6,50.0,96.6506,35.09177300003115,79.33,83.4125,86.18,91.1725,109.545,161.6239999999999,238.54479999999978,293.66,1231.4325322857148,4.313899446189135,0.28672680412370677
test_30_8,50.0,153.329,42.95224611028355,134.08,139.88,141.64499999999998,150.325,165.486,187.05349999999996,346.43459999999976,407.42,1844.8954459183653,4.984419760038357,0.6620392532312135
test_35_10,50.0,314.43839999999994,59.73842302189484,284.63,296.3075,300.375,303.7275,334.49300000000005,391.2444999999999,553.5116999999995,687.61,3568.6791851428525,5.351894184409708,-0.09636118598381625
test_35_12,50.0,527.5588,65.45325696640468,506.9,511.135,513.4449999999999,518.7225,531.5,564.9614999999999,796.6817999999994,960.92,4284.128847510197,6.23803568964881,0.39110378912688093
test_35_14,50.0,724.6690000000001,75.71377757915745,701.14,705.71,708.615,716.7075,725.194,746.8285,1053.4061999999994,1216.88,5732.576115306134,6.026482080844266,0.4716981132075495
test_35_16,50.0,968.3542,93.36379904329041,931.1,942.765,950.47,956.775,967.6270000000001,1035.4434999999999,1338.1120999999991,1587.38,8716.798971795915,6.250729742155079,-0.09992862241256902
test_35_18,50.0,1278.0646000000002,104.89057772142691,1244.95,1254.095,1259.18,1266.705,1271.917,1301.3799999999999,1704.2038999999988,1985.41,11002.033294734687,6.555514868298486,0.19349722442506534
test_35_2,50.0,38.6616,17.169648155856848,26.99,30.355,32.745,42.3025,49.487,56.481999999999985,108.01139999999988,138.46,294.79681779591834,4.389474620374659,0.5999163004812725
test_35_20,50.0,1609.7112,126.69991402860988,1576.05,1582.7800000000002,1588.855,1593.5775,1602.182,1608.827,2117.8686999999986,2471.83,16052.868214857152,6.719615100515652,-0.12526047696225756
test_35_4,50.0,69.31199999999998,27.28987402847064,56.09,58.315,61.32,65.23,83.93600000000002,113.65599999999999,177.9046999999998,225.91,744.7372244897963,4.40278041713708,0.13087490961677517
test_35_6,50.0,119.30719999999998,36.899789393790876,101.64,105.6625,108.195,113.1025,135.189,167.89649999999986,280.24659999999983,319.28,1361.594457306121,4.232421354672593,0.3192204301075264
test_35_8,50.0,194.61180000000002,41.86557378231486,175.59,180.2825,182.89499999999998,190.3025,213.579,225.248,384.0682999999998,433.72,1752.7262681224481,4.711757879785182,0.47854291417166345
test_40_10,50.0,474.3514,60.670556958655574,449.22,458.0125,460.63,465.0625,484.407,517.8779999999998,728.9291999999995,866.09,3680.916481673468,5.871670412917249,0.2574468085106456
test_40_12,50.0,681.8559999999999,73.54712636071085,651.92,661.71,666.24,671.66,679.141,724.2509999999999,1008.4927999999995,1142.89,5409.179795918372,5.58165091247531,0.08944723618089234
test_40_14,50.0,960.5132000000001,83.17856993044224,924.79,939.42,943.52,948.8375,959.455,1029.6290000000001,1299.4250999999992,1505.23,6918.6744956734665,6.051861934475278,0.12928059463763955
test_40_16,50.0,1314.5446,101.51262718700647,1273.53,1284.02,1291.095,1311.425,1325.5320000000002,1361.4754999999998,1735.867199999999,1981.22,10304.813478408187,6.1028415491723145,0.48367086298119566
test_40_18,50.0,1702.2108,106.37162618146722,1653.07,1677.17,1681.665,1695.4850000000001,1711.295,1722.37,2120.533599999999,2421.57,11314.922856489811,6.582126127238364,0.5091455091455225
test_40_2,50.0,41.85240000000001,16.763256899467688,30.69,33.449999999999996,35.5,45.9975,50.62200000000001,63.84749999999997,105.69849999999988,138.21,281.0067818775509,4.2069789528717125,0.6732416816098814
test_40_20,50.0,2453.5728,119.89544290228339,2383.35,2424.6549999999997,2436.665,2451.5125,2464.0690000000004,2468.6974999999998,2905.5650999999984,3269.15,14374.91722873469,6.679362625959431,0.10565019082191673
test_40_4,50.0,82.06900000000002,29.962015221317287,67.39,70.43,72.78,77.28,98.74600000000002,128.36499999999998,200.85699999999977,256.57,897.7223561224479,4.531092545769031,0.31386861313868725
test_40_6,50.0,150.13639999999998,41.93606887262796,131.88,134.5075,137.79000000000002,142.325,166.471,199.6784999999999,337.27419999999984,376.68,1758.6338724897964,4.313341066917964,0.1602174608250645
test_40_8,50.0,253.05319999999995,47.26516227689507,233.12,237.13,239.95,244.1375,269.04699999999997,301.465,459.47289999999975,534.83,2233.9955650612237,4.948818057472828,0.1951480556546569
test_45_10,50.0,591.8846,65.3851016298274,567.44,573.615,577.255,582.075,593.375,634.2425,869.5872999999993,1012.78,4275.211515142853,5.830388464215741,0.13947990543735916
